"Date","Time","Open","High","Low","Close","Vol","OI"
03/04/2024,23:00,445.61,446.04,443.77,444.02,34325687,0
03/05/2024,23:00,440.94,440.95,433.65,436.05,57917135,0
03/06/2024,23:00,440.32,441.99,436.89,438.79,46234460,0
03/07/2024,23:00,442.42,446.72,440.86,445.45,44526666,0
03/08/2024,23:00,445.81,448.64,438.34,439.02,72095957,0
03/11/2024,23:00,437.51,438.66,435.44,437.39,45859992,0
03/12/2024,23:00,439.73,444.02,436.46,443.66,55300909,0
03/13/2024,23:00,442.65,442.67,439.12,440.25,37928691,0
03/14/2024,23:00,441.50,442.03,436.39,439.14,52195208,0
03/15/2024,23:00,436.07,438.87,432.74,433.92,73069824,0
03/18/2024,23:00,438.73,441.04,437.24,437.48,47323802,0
03/19/2024,23:00,435.45,438.98,433.33,438.57,43004105,0
03/20/2024,23:00,439.78,444.11,438.06,443.77,43653490,0
03/21/2024,23:00,448.88,449.34,445.67,445.87,39345652,0
03/22/2024,23:00,445.35,447.49,444.49,446.38,28253899,0
03/25/2024,23:00,443.55,446.26,442.54,444.76,27789154,0
03/26/2024,23:00,446.30,447.23,443.09,443.32,34142043,0
03/27/2024,23:00,446.44,446.54,441.93,444.83,41359240,0
03/28/2024,23:00,444.78,445.64,443.65,444.01,36839641,0
04/01/2024,23:00,444.97,447.53,443.02,444.95,38728951,0
04/02/2024,23:00,440.08,441.43,438.03,441.11,44259665,0
04/03/2024,23:00,438.96,444.00,438.95,442.10,39949750,0
04/04/2024,23:00,446.33,446.95,435.11,435.34,57267660,0
04/05/2024,23:00,436.78,443.17,435.96,440.47,54744634,0
04/08/2024,23:00,441.41,442.50,439.20,440.60,28144944,0
04/09/2024,23:00,442.96,443.24,437.44,442.23,39521568,0
04/10/2024,23:00,437.00,439.24,436.28,438.37,61502191,0
04/11/2024,23:00,440.26,446.33,437.96,445.37,45474550,0
04/12/2024,23:00,441.10,442.24,436.88,438.27,53664995,0
04/15/2024,23:00,442.06,442.15,430.21,431.06,63453622,0
04/16/2024,23:00,430.90,433.76,429.70,431.10,47618961,0
04/17/2024,23:00,433.10,433.12,424.90,425.84,56880536,0
04/18/2024,23:00,426.49,428.24,422.83,423.41,46549363,0
04/19/2024,23:00,422.22,422.75,413.07,414.65,75230990,0
04/22/2024,23:00,417.31,421.18,413.94,418.82,47807663,0
04/23/2024,23:00,420.77,426.28,418.87,425.07,44384741,0
04/24/2024,23:00,428.20,429.73,424.20,426.51,48440305,0
04/25/2024,23:00,419.24,425.32,418.14,424.45,57392169,0
04/26/2024,23:00,427.62,432.55,426.92,431.00,41874907,0
04/29/2024,23:00,433.13,433.76,429.98,432.75,30022161,0
04/30/2024,23:00,431.15,432.56,424.51,424.59,43665934,0
05/01/2024,23:00,423.15,430.14,420.66,421.52,52251707,0
05/02/2024,23:00,425.30,427.81,420.63,426.90,36559007,0
05/03/2024,23:00,434.44,436.48,432.62,435.48,48515252,0
05/06/2024,23:00,437.30,440.34,436.52,440.25,30227200,0
05/07/2024,23:00,440.70,441.97,439.58,440.32,30996094,0
05/08/2024,23:00,437.67,441.48,437.55,440.06,24896723,0
05/09/2024,23:00,440.33,441.60,438.46,441.02,24580121,0
05/10/2024,23:00,442.54,444.31,440.50,442.06,27116566,0
05/13/2024,23:00,443.99,444.09,441.65,443.08,22994192,0
05/14/2024,23:00,442.65,446.47,442.46,445.93,34478321,0
05/15/2024,23:00,448.43,453.15,446.90,452.90,41464651,0
05/16/2024,23:00,452.71,454.69,451.81,451.98,34780412,0
05/17/2024,23:00,452.11,452.72,449.54,451.76,35803719,0
05/20/2024,23:00,451.98,455.58,451.79,454.91,24474226,0
