long_threshold,short_threshold,min_volume_pct_change,bar_color_filter,profit_factor,win_rate,avg_return,avg_pnl,max_drawdown,num_trades,risk_violations,daily_loss_violations,direction_tag,suggested_contracts,stop_ticks,stop_loss_dollars,error
1.5,1.5,0.05,True,0.7684729064039408,0.45,-1.9583333333333333,-1.9583333333333333,141.25,60,13,0,both,1,10,0,
1.5,1.5,0.05,False,0.7266949152542372,0.4411764705882353,-2.3713235294117645,-2.3713235294117645,240.0,68,12,0,both,1,10,0,
1.5,2.0,0.0,True,0.9345238095238095,0.4634146341463415,-0.5030487804878049,-0.5030487804878049,83.75,82,16,0,both,1,10,0,
1.5,2.0,0.0,False,0.8568075117370892,0.48484848484848486,-1.1553030303030303,-1.1553030303030303,167.5,66,11,0,both,1,10,0,
1.5,2.0,0.05,True,0.9345238095238095,0.4634146341463415,-0.5030487804878049,-0.5030487804878049,83.75,82,16,0,both,1,10,0,
1.5,2.0,0.05,False,0.8568075117370892,0.48484848484848486,-1.1553030303030303,-1.1553030303030303,167.5,66,11,0,both,1,10,0,
1.5,2.5,0.0,True,1.0724637681159421,0.524390243902439,0.5335365853658537,0.5335365853658537,142.5,82,14,0,both,1,10,0,
1.5,2.5,0.0,False,0.7101123595505618,0.4461538461538462,-2.480769230769231,-2.480769230769231,201.25,65,9,0,both,1,10,0,
1.5,2.5,0.05,True,1.0724637681159421,0.524390243902439,0.5335365853658537,0.5335365853658537,142.5,82,14,0,both,1,10,0,
1.5,2.5,0.05,False,0.7101123595505618,0.4461538461538462,-2.480769230769231,-2.480769230769231,201.25,65,9,0,both,1,10,0,
1.5,3.0,0.0,True,1.133159268929504,0.546875,0.99609375,0.99609375,142.5,64,13,0,both,1,10,0,
1.5,3.0,0.0,False,0.6708860759493671,0.43636363636363634,-2.9545454545454546,-2.9545454545454546,202.5,55,9,0,both,1,10,0,
1.5,3.0,0.05,True,1.133159268929504,0.546875,0.99609375,0.99609375,142.5,64,13,0,both,1,10,0,
1.5,3.0,0.05,False,0.6708860759493671,0.43636363636363634,-2.9545454545454546,-2.9545454545454546,202.5,55,9,0,both,1,10,0,
1.5,3.5,0.0,True,0.9424460431654677,0.5079365079365079,-0.47619047619047616,-0.47619047619047616,142.5,63,14,0,both,1,10,0,
1.5,3.5,0.0,False,0.6623376623376623,0.4339622641509434,-3.0660377358490565,-3.0660377358490565,202.5,53,9,0,both,1,10,0,
1.5,3.5,0.05,True,0.9424460431654677,0.5079365079365079,-0.47619047619047616,-0.47619047619047616,142.5,63,14,0,both,1,10,0,
1.5,3.5,0.05,False,0.6623376623376623,0.4339622641509434,-3.0660377358490565,-3.0660377358490565,202.5,53,9,0,both,1,10,0,
1.5,4.0,0.0,True,0.8266666666666667,0.4605263157894737,-1.4967105263157894,-1.4967105263157894,142.5,76,18,0,both,1,10,0,
1.5,4.0,0.0,False,0.7746031746031746,0.4888888888888889,-1.9722222222222223,-1.9722222222222223,166.25,45,9,0,both,1,10,0,
1.5,4.0,0.05,True,0.8266666666666667,0.4605263157894737,-1.4967105263157894,-1.4967105263157894,142.5,76,18,0,both,1,10,0,
1.5,4.0,0.05,False,0.7746031746031746,0.4888888888888889,-1.9722222222222223,-1.9722222222222223,166.25,45,9,0,both,1,10,0,
2.0,0.5,0.0,True,1.0394736842105263,0.5164835164835165,0.28846153846153844,0.28846153846153844,143.75,91,18,0,both,1,10,0,
2.0,0.5,0.0,False,0.5890652557319224,0.38461538461538464,-3.733974358974359,-3.733974358974359,370.0,78,13,0,both,1,10,0,
2.0,0.5,0.05,True,1.0394736842105263,0.5164835164835165,0.28846153846153844,0.28846153846153844,143.75,91,18,0,both,1,10,0,
2.0,0.5,0.05,False,0.5890652557319224,0.38461538461538464,-3.733974358974359,-3.733974358974359,370.0,78,13,0,both,1,10,0,
2.0,1.0,0.0,True,0.8722222222222222,0.47619047619047616,-1.0267857142857142,-1.0267857142857142,142.5,84,17,0,both,1,10,0,
2.0,1.0,0.0,False,0.5890652557319224,0.38461538461538464,-3.733974358974359,-3.733974358974359,370.0,78,13,0,both,1,10,0,
2.0,1.0,0.05,True,0.8722222222222222,0.47619047619047616,-1.0267857142857142,-1.0267857142857142,142.5,84,17,0,both,1,10,0,
2.0,1.0,0.05,False,0.5890652557319224,0.38461538461538464,-3.733974358974359,-3.733974358974359,370.0,78,13,0,both,1,10,0,
2.0,1.5,0.0,True,1.0308641975308641,0.5,0.22865853658536586,0.22865853658536586,97.5,82,19,0,both,1,10,0,
2.0,1.5,0.0,False,0.5264227642276422,0.3582089552238806,-4.347014925373134,-4.347014925373134,370.0,67,8,0,both,1,10,0,
2.0,1.5,0.05,True,1.0308641975308641,0.5,0.22865853658536586,0.22865853658536586,97.5,82,19,0,both,1,10,0,
2.0,1.5,0.05,False,0.5264227642276422,0.3582089552238806,-4.347014925373134,-4.347014925373134,370.0,67,8,0,both,1,10,0,
2.0,2.0,0.0,True,0.9322799097065463,0.4864864864864865,-0.5067567567567568,-0.5067567567567568,141.25,74,13,0,both,1,10,0,
2.0,2.0,0.0,False,0.7734939759036145,0.45454545454545453,-1.7803030303030303,-1.7803030303030303,208.75,66,7,0,both,1,10,0,
2.0,2.0,0.05,True,0.9322799097065463,0.4864864864864865,-0.5067567567567568,-0.5067567567567568,141.25,74,13,0,both,1,10,0,
2.0,2.0,0.05,False,0.7734939759036145,0.45454545454545453,-1.7803030303030303,-1.7803030303030303,208.75,66,7,0,both,1,10,0,
2.0,2.5,0.0,True,0.9193899782135077,0.4857142857142857,-0.6607142857142857,-0.6607142857142857,167.5,70,17,0,both,1,10,0,
2.0,2.5,0.0,False,0.5513833992094862,0.36619718309859156,-3.9964788732394365,-3.9964788732394365,311.25,71,9,0,both,1,10,0,
2.0,2.5,0.05,True,0.9193899782135077,0.4857142857142857,-0.6607142857142857,-0.6607142857142857,167.5,70,17,0,both,1,10,0,
2.0,2.5,0.05,False,0.5513833992094862,0.36619718309859156,-3.9964788732394365,-3.9964788732394365,311.25,71,9,0,both,1,10,0,
